# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-31 11:21:30 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0214196125 CATAWBA RIVER AT NC HIGHWAY 16 NR MILLERSVILLE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 0214196125
#            TS   parameter     statistic     Description
#        174404       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        174405       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        174406       00010     00003     Temperature, water, degrees Celsius (Mean)
#        174407       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        174408       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        174409       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	174404_00010_00001	174404_00010_00001_cd	174405_00010_00002	174405_00010_00002_cd	174406_00010_00003	174406_00010_00003_cd	174407_00300_00001	174407_00300_00001_cd	174408_00300_00002	174408_00300_00002_cd	174409_00300_00003	174409_00300_00003_cd
USGS	0214196125	2019-12-23												
USGS	0214196125	2019-12-24												
USGS	0214196125	2019-12-25												
USGS	0214196125	2019-12-26												
USGS	0214196125	2019-12-27												
USGS	0214196125	2019-12-28												
USGS	0214196125	2019-12-29												
USGS	0214196125	2019-12-30												
USGS	0214196125	2019-12-31												
USGS	0214196125	2020-01-01												
USGS	0214196125	2020-01-02												
USGS	0214196125	2020-01-03												
USGS	0214196125	2020-01-04												
USGS	0214196125	2020-01-05												
USGS	0214196125	2020-01-06												
USGS	0214196125	2020-01-07												
USGS	0214196125	2020-01-08												
USGS	0214196125	2020-01-09												
USGS	0214196125	2020-01-10												
USGS	0214196125	2020-01-11												
USGS	0214196125	2020-01-12												
USGS	0214196125	2020-01-13												
USGS	0214196125	2020-01-14												
USGS	0214196125	2020-01-15												
USGS	0214196125	2020-01-16												
USGS	0214196125	2020-01-17												
USGS	0214196125	2020-01-18												
USGS	0214196125	2020-01-19												
USGS	0214196125	2020-01-20												
USGS	0214196125	2020-01-21												
USGS	0214196125	2020-01-22												
USGS	0214196125	2020-01-23												
USGS	0214196125	2020-01-24												
USGS	0214196125	2020-01-25												
USGS	0214196125	2020-01-26												
USGS	0214196125	2020-01-27												
USGS	0214196125	2020-01-28												
USGS	0214196125	2020-01-29												
USGS	0214196125	2020-01-30												
USGS	0214196125	2020-01-31												
USGS	0214196125	2020-02-01												
USGS	0214196125	2020-02-02												
USGS	0214196125	2020-02-03												
USGS	0214196125	2020-02-04												
USGS	0214196125	2020-02-05												
USGS	0214196125	2020-02-06												
USGS	0214196125	2020-02-07												
USGS	0214196125	2020-02-08												
USGS	0214196125	2020-02-09												
USGS	0214196125	2020-02-10												
USGS	0214196125	2020-02-11												
USGS	0214196125	2020-02-12												
USGS	0214196125	2020-02-13												
USGS	0214196125	2020-02-14												
USGS	0214196125	2020-02-15												
USGS	0214196125	2020-02-16												
USGS	0214196125	2020-02-17												
USGS	0214196125	2020-02-18												
USGS	0214196125	2020-02-19												
USGS	0214196125	2020-02-20												
USGS	0214196125	2020-02-21												
USGS	0214196125	2020-02-22												
USGS	0214196125	2020-02-23												
USGS	0214196125	2020-02-24												
USGS	0214196125	2020-02-25												
USGS	0214196125	2020-02-26												
USGS	0214196125	2020-02-27												
USGS	0214196125	2020-02-28												
USGS	0214196125	2020-02-29												
USGS	0214196125	2020-03-01												
USGS	0214196125	2020-03-02												
USGS	0214196125	2020-03-03												
USGS	0214196125	2020-03-04												
USGS	0214196125	2020-03-05												
USGS	0214196125	2020-03-06												
USGS	0214196125	2020-03-07												
USGS	0214196125	2020-03-08												
USGS	0214196125	2020-03-09												
USGS	0214196125	2020-03-10												
USGS	0214196125	2020-03-11												
USGS	0214196125	2020-03-12												
USGS	0214196125	2020-03-13												
USGS	0214196125	2020-03-14												
USGS	0214196125	2020-03-15												
USGS	0214196125	2020-03-16												
USGS	0214196125	2020-03-17												
USGS	0214196125	2020-03-18												
USGS	0214196125	2020-03-19												
USGS	0214196125	2020-03-20												
USGS	0214196125	2020-03-21												
USGS	0214196125	2020-03-22												
USGS	0214196125	2020-03-23												
USGS	0214196125	2020-03-24												
USGS	0214196125	2020-03-25												
USGS	0214196125	2020-03-26												
USGS	0214196125	2020-03-27												
USGS	0214196125	2020-03-28												
USGS	0214196125	2020-03-29												
USGS	0214196125	2020-03-30												
USGS	0214196125	2020-03-31												
USGS	0214196125	2020-04-01	14.7	P	13.5	P	14.1	P	11.1	P	10.3	P	10.5	P
USGS	0214196125	2020-04-02	15.2	P	13.7	P	14.5	P	11.1	P	10.3	P	10.5	P
USGS	0214196125	2020-04-03	15.6	P	13.8	P	14.7	P	10.9	P	10.1	P	10.4	P
USGS	0214196125	2020-04-04	15.5	P	13.9	P	14.7	P	10.9	P	9.8	P	10.4	P
USGS	0214196125	2020-04-05	15.5	P	14.0	P	14.7	P	10.8	P	9.7	P	10.4	P
USGS	0214196125	2020-04-06	16.1	P	14.5	P	15.0	P	10.8	P	9.7	P	10.3	P
USGS	0214196125	2020-04-07	16.8	P	14.7	P	15.7	P	11.7	P	9.7	P	10.3	P
USGS	0214196125	2020-04-08	17.0	P	15.0	P	16.1	P	11.6	P	9.6	P	10.2	P
USGS	0214196125	2020-04-09	17.4	P	15.1	P	16.4	P	11.3	P	9.5	P	10.0	P
USGS	0214196125	2020-04-10	17.1	P	15.8	P	16.2	P	11.5	P	9.4	P	10.0	P
USGS	0214196125	2020-04-11	16.3	P	15.4	P	15.9	P	11.4	P	9.2	P	9.7	P
USGS	0214196125	2020-04-12	16.1	P	15.2	P	15.7	P	11.4	P	8.9	P	10.2	P
USGS	0214196125	2020-04-13	16.7	P	15.3	P	16.1	P	9.9	P	9.0	P	9.3	P
USGS	0214196125	2020-04-14	16.1	P	15.8	P	15.9	P	9.2	P	8.9	P	9.0	P
USGS	0214196125	2020-04-15	15.8	P	15.6	P	15.7	P	9.0	P	8.8	P	8.9	P
USGS	0214196125	2020-04-16	16.3	P	15.8	P	16.0	P	9.3	P	8.9	P	9.1	P
USGS	0214196125	2020-04-17	16.6	P	15.9	P	16.2	P	9.4	P	8.9	P	9.1	P
USGS	0214196125	2020-04-18	16.3	P	16.1	P	16.2	P	9.3	P	8.9	P	9.0	P
USGS	0214196125	2020-04-19	16.2	P	15.9	P	16.0	P	9.2	P	8.6	P	8.9	P
USGS	0214196125	2020-04-20	16.1	P	15.8	P	15.9	P	9.6	P	8.4	P	8.7	P
USGS	0214196125	2020-04-21	16.9	P	15.9	P	16.3	P	11.3	P	8.5	P	9.4	P
USGS	0214196125	2020-04-22	16.6	P	16.2	P	16.4	P	9.8	P	8.9	P	9.1	P
USGS	0214196125	2020-04-23	16.7	P	15.9	P	16.2	P	10.9	P	8.5	P	9.3	P
USGS	0214196125	2020-04-24	16.6	P	16.0	P	16.3	P	10.7	P	8.4	P	9.2	P
USGS	0214196125	2020-04-25	16.9	P	15.7	P	16.2	P	10.7	P	7.9	P	9.2	P
USGS	0214196125	2020-04-26	16.9	P	15.7	P	16.3	P	10.6	P	8.4	P	9.4	P
USGS	0214196125	2020-04-27	17.0	P	16.2	P	16.5	P	9.9	P	8.5	P	9.1	P
USGS	0214196125	2020-04-28	16.6	P	16.1	P	16.3	P	9.9	P	8.5	P	9.0	P
USGS	0214196125	2020-04-29	16.6	P	16.0	P	16.3	P	9.5	P	8.3	P	8.7	P
USGS	0214196125	2020-04-30	16.6	P	16.2	P	16.4	P	9.7	P	8.5	P	8.8	P
USGS	0214196125	2020-05-01	16.8	P	16.2	P	16.5	P	9.4	P	8.6	P	8.9	P
USGS	0214196125	2020-05-02	16.6	P	16.3	P	16.4	P	8.9	P	8.6	P	8.7	P
USGS	0214196125	2020-05-03	16.8	P	16.3	P	16.5	P	9.0	P	8.7	P	8.8	P
USGS	0214196125	2020-05-04	17.2	P	16.5	P	16.8	P	9.3	P	8.8	P	9.2	P
USGS	0214196125	2020-05-05	17.0	P	16.1	P	16.4	P	9.6	P	8.5	P	8.8	P
USGS	0214196125	2020-05-06	17.2	P	16.1	P	16.7	P	11.0	P	8.8	P	9.4	P
USGS	0214196125	2020-05-07	17.4	P	16.6	P	16.9	P	9.7	P	8.8	P	9.0	P
USGS	0214196125	2020-05-08	17.7	P	16.6	P	17.0	P	9.8	P	8.8	P	9.2	P
USGS	0214196125	2020-05-09	17.2	P	16.6	P	16.8	P	10.8	P	8.8	P	9.5	P
USGS	0214196125	2020-05-10	17.4	P	16.5	P	16.9	P	10.0	P	8.7	P	9.3	P
USGS	0214196125	2020-05-11	18.0	P	17.0	P	17.3	P	10.3	P	9.3	P	9.8	P
USGS	0214196125	2020-05-12	17.3	P	16.8	P	17.0	P	9.9	P	8.9	P	9.3	P
USGS	0214196125	2020-05-13	17.2	P	16.5	P	16.8	P	10.0	P	8.8	P	9.4	P
USGS	0214196125	2020-05-14	17.4	P	16.5	P	16.9	P	10.2	P	8.8	P	9.5	P
USGS	0214196125	2020-05-15	17.9	P	16.8	P	17.2	P	10.2	P	8.7	P	9.2	P
USGS	0214196125	2020-05-16	18.4	P	17.0	P	17.6	P	10.8	P	8.7	P	9.4	P
USGS	0214196125	2020-05-17	18.6	P	16.7	P	17.5	P	10.4	P	8.4	P	9.2	P
USGS	0214196125	2020-05-18	17.0	P	16.7	P	16.8	P	8.7	P	8.3	P	8.5	P
USGS	0214196125	2020-05-19	16.7	P	16.1	P	16.4	P	8.3	P	7.6	P	7.9	P
USGS	0214196125	2020-05-20	16.8	P	16.3	P	16.5	P	9.6	P	7.9	P	8.4	P
USGS	0214196125	2020-05-21	17.6	P	16.8	P	17.2	P	10.5	P	9.5	P	10.2	P
USGS	0214196125	2020-05-22	17.6	P	17.0	P	17.4	P	10.4	P	10.0	P	10.2	P
USGS	0214196125	2020-05-23	17.0	P	16.1	P	16.6	P	10.2	P	8.9	P	9.6	P
USGS	0214196125	2020-05-24	16.1	P	15.6	P	15.9	P	9.3	P	9.0	P	9.1	P
USGS	0214196125	2020-05-25	15.8	P	15.5	P	15.6	P	9.2	P	9.0	P	9.1	P
USGS	0214196125	2020-05-26	16.0	P	15.6	P	15.8	P	9.1	P	9.0	P	9.0	P
USGS	0214196125	2020-05-27	16.3	P	15.9	P	16.0	P	9.0	P	8.8	P	8.9	P
USGS	0214196125	2020-05-28	16.8	P	16.3	P	16.6	P	9.1	P	8.8	P	8.9	P
USGS	0214196125	2020-05-29	17.4	P	16.8	P	17.1	P	9.0	P	8.8	P	8.9	P
